code,name,date,fullName,avgYld,issueDate,maturity,coupon,payPerYr,compPerYr,durT,mdurT,convT
B644BP,P09鴻海2B,20220217,鴻海 109年度第 1期無擔保普通公司債乙券,0.8855,20200514,20270514,0.9,1,1,5.1072,5.0625,1566.9416
B644BQ,P09鴻海2C,20200514,鴻海 109年度第 1期無擔保普通公司債丙券,1.0,20200514,20300514,1.0,1,1,9.5734,9.479,5086.1043
B644BS,P09鴻海3B,20240910,鴻海 109年度第 2期無擔保普通公司債乙券,1.9,20200909,20270909,0.79,1,1,2.9536,2.8987,553.751
B644BT,P09鴻海3C,20200910,鴻海 109年度第 2期無擔保普通公司債丙券,0.9,20200909,20300909,0.9,1,1,9.6057,9.52,5123.2762
B644BU,P09鴻海3D,20200909,鴻海 109年度第二期無擔保普通公司債丁券,1.0,20200909,20320909,1.0,1,1,11.3769,11.2647,7118.9731
B644BV,P09鴻海4A,20250730,鴻海 109年度第 3期無擔保普通公司債甲券,1.6,20201228,20251228,0.53,1,1,0.4165,0.4099,28.538
B644BW,P09鴻海4B,20230711,鴻海 109年度第 3期無擔保普通公司債乙券,1.5906,20201228,20271228,0.63,1,1,4.4057,4.337,1118.6713
B644BX,P09鴻海4C,20201228,鴻海 109年度第 3期無擔保普通公司債丙券,0.68,20201228,20301228,0.68,1,1,9.7064,9.641,5214.5039
B644BY,P09鴻海4D,20201228,鴻海 109年度第 3期無擔保普通公司債丁券,0.9,20201228,20351228,0.9,1,1,14.1096,13.9843,10857.8812
B644C1,P10鴻海1B,20230601,鴻海 110年度第 1期無擔保普通公司債乙券,1.52,20210514,20260514,0.54,1,1,2.9381,2.8943,546.8963
B644C2,P10鴻海1C,20210517,鴻海 110年度第 1期無擔保普通公司債丙券,0.63,20210514,20280514,0.63,1,1,6.863,6.82,2694.6493
B644C3,P10鴻海1D,20210514,鴻海 110年度第 1期無擔保普通公司債丁券,0.73,20210514,20310514,0.73,1,1,9.6853,9.6153,5194.0959
B644C4,P10鴻海1E,20210514,鴻海 110年度第 1期無擔保普通公司債戊券,0.95,20210514,20360514,0.95,1,1,14.0629,13.931,10798.4164
B644C5,P10鴻海2A,20250219,鴻海 110年度第 2期無擔保普通公司債甲券,1.85,20210930,20260930,0.51,1,1,1.609,1.5799,198.7036
